location;date;vaccine;source_url;total_vaccinations;people_vaccinated;people_fully_vaccinated;new case;new death
Canada;2020-12-14;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;5;;;8377;140
Canada;2020-12-15;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;723;;;6244;116
Canada;2020-12-16;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;3023;;;6512;118
Canada;2020-12-17;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;7202;;;7006;156
Canada;2020-12-18;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;11174;;;6700;113
Canada;2020-12-19;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;11894;;;6459;104
Canada;2020-12-20;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;12738;;;6007;90
Canada;2020-12-21;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;20866;;;7577;107
Canada;2020-12-22;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;26603;;;6260;126
Canada;2020-12-23;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;35089;;;6921;145
Canada;2020-12-24;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;45398;;;6684;150
Canada;2020-12-25;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;45398;;;1749;64
Canada;2020-12-26;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;48417;;;3114;85
Canada;2020-12-27;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;52280;;;10100;120
Canada;2020-12-28;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;59449;;;6465;157
Canada;2020-12-29;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;70463;;;8189;200
Canada;2020-12-30;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;84142;;;8459;122
Canada;2020-12-31;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;97582;;;7143;112
Canada;2021-01-01;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;103790;;;991;44
Canada;2021-01-02;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;108732;;;4535;108
Canada;2021-01-03;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;114034;;;16141;92
Canada;2021-01-04;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;137735;;;10058;241
Canada;2021-01-05;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;155197;;;7250;142
Canada;2021-01-06;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;183360;182930;430;8082;150
Canada;2021-01-07;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;219446;218359;1087;8227;165
Canada;2021-01-08;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;260654;258627;2027;9237;142
Canada;2021-01-09;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;296241;293301;2940;8393;138
Canada;2021-01-10;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;319603;316661;2942;7283;90
Canada;2021-01-11;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;359049;356107;2942;8325;125
Canada;2021-01-12;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;388493;385470;3023;6141;160
Canada;2021-01-13;Moderna, Oxford/AstraZeneca, Pfizer/BioNTech;https://covid19tracker.ca/vaccinationtracker.html;419209;407278;11931;7139;180
